epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4826,1.46769,1.57973,1.33352,0.99704,1,0.995,0.81907,0.74164,0.72992,0.82094,6e-05,6e-05,6e-05
2,44.5425,0.88577,1.16668,0.948,0.99733,1,0.995,0.84806,0.57038,0.70427,0.74646,9.38e-05,9.38e-05,9.38e-05
3,65.2521,0.57486,2.93087,0.71538,0.99728,1,0.995,0.85874,0.56662,0.68532,0.74338,7.48e-05,7.48e-05,7.48e-05
1,148.32,0.46634,0.55118,0.93232,0.9931,0.99207,0.99348,0.885,0.651,0.69584,0.81431,0.00048,0.00048,0.00048
1,151.378,0.54048,0.63284,0.93902,0.98355,0.96639,0.99409,0.83512,0.65787,0.79491,0.83818,0.00052,0.00052,0.00052
1,163.384,0.53183,0.57891,0.9839,1,0.98173,0.9946,0.81087,0.94554,0.93854,0.94633,0.00056,0.00056,0.00056
2,270.661,0.50207,0.5519,0.92952,0.9589,0.96551,0.99038,0.84733,0.68609,0.79614,0.82902,0.0006566,0.0006566,0.0006566
2,276.674,0.53652,0.62049,0.93518,0.98318,0.98212,0.99122,0.81597,0.69763,0.72495,0.84294,0.0007102,0.0007102,0.0007102
2,303.672,0.57053,0.58999,0.99983,0.95351,0.95952,0.98431,0.79225,1.11492,1.22728,1.0533,0.0007638,0.0007638,0.0007638
3,388.395,0.46657,0.5188,0.92775,0.98512,0.98621,0.99068,0.88718,0.61159,0.67276,0.80054,0.0005032,0.0005032,0.0005032
3,398.424,0.58767,0.63549,0.96092,0.9778,0.98319,0.99093,0.86178,0.57758,0.69542,0.82715,0.000544,0.000544,0.000544
3,419.336,0.59807,0.578,0.98791,0.99147,0.92398,0.97766,0.76578,1.00529,1.00851,0.97168,0.0005848,0.0005848,0.0005848
